FILENAME       BUNDLE         DISK   SIZE     DIRECTORY     DESCRIPTION
CREATE.COM     STAC2          3     1536     \STACKER\      STACKER creates an empty Stacker drive using free disk space
AUTORCVR.COM   STAC2          3     1536     \STACKER\      STACKER keeps data safe when Setup is interrupted
UNCOMP2.EXE    STAC1          5     57856    \STACKER\      STACKER uncompresses all data stored in a Stacker drive
HCONVRT2.EXE   STAC1          5     54272    \STACKER\      STACKER updates an earlier Stacker drive to Stacker 4.01
CHECK.EXE      STAC1          5     52736    \STACKER\      STACKER detects any Stacker problems on the disk
REPORT.EXE     STAC1          5     49664    \STACKER\      STACKER compression status of Stacker disk and its files
DCONVRT2.EXE   STAC1          5     47616    \STACKER\      STACKER converts Doublespace or SuperStor/DS disk to Stacker drive
AUTOSAVE.EXE   STAC1          5     43520    \STACKER\      STACKER stores updated versions of Stacker drive headers
STACFM.DLL     STAC1          5     43008    \STACKER\      STACKER file manager device driver for Windows
SETUP.EXE      STAC1          5     41472    \STACKER\      STACKER creates more Stacker drives
TUNER.EXE      STAC1          5     38912    \STACKER\      STACKER adjusts balance between compression and speed
REPAIR.EXE     STAC1          5     36864    \STACKER\      STACKER repairs Stacker drives
CONFIG.EXE     STAC1          5     23040    \STACKER\      STACKER rebuilds your computer's configuration in STACKER.INI
PASSWD.EXE     STAC1          5     12800    \STACKER\      STACKER sets passwords for Stacker drives
SSETUP.EXE     STAC1          5     11264    \              STACKER starts setup of Stacker compression
STACHIGH.SYS   STAC1          5     8192     \STACKER\      STACKER places Stacker driver in upper memory blocks
SCREATE.SYS    STAC1          5     4096     \STACKER\      STACKER used to create compressed RAM drives
VSTACKER.386   STAC1          5     2560     \STACKER\      STACKER enables Stacker tools to run in Windows
STACHOOK.DLL   STAC1          5     2560     \STACKER\      STACKER auxiliary device driver for Windows
STACLOAD.BIN   STAC1          5     1536     \STACKER\      STACKER component file
FILEUP.EXE     DOS2           2     130048   \              File Update file synchronization utility
DOSREXX.INF    DOS2           2     122880   \              REXX online book
DOSERROR.INF   DOS2           2     53248    \              DOS error messages online book
EMM386.EXE     DOS2           2     43520    \              Memory manager
INTERSVR.EXE   DOS2           2     26112    \              Data transfer utility (server)
HELP.COM       DOS2           2     11264    \              Quick access to online Command Reference
INTERLNK.EXE   DOS2           2     10752    \              Data transfer utility (client)
JOIN.EXE       DOS2           2     10240    \              Join utility
FC.EXE         DOS2           2     10240    \              File compare utility
HIMEM.SYS      DOS2           2     8192     \              High memory device driver
FILEUP.HLP     DOS2           2     7680     \              File Update help file
EGAX.CPI       DOS2           2     7168     \              Code page support for EGA/VGA and above
DRVLOCK.EXE    DOS2           2     6656     \              Electronic drive locking utility
FIND.EXE       DOS2           2     6144     \              Find utility
ISO.CPI        DOS2           2     5632     \              ISO code page support for VGA and above
EJECT.EXE      DOS2           2     5120     \              Electronic disk eject utility
LABEL.COM      DOS2           2     4608     \              Disk volume label utility
DOSKEY.COM     DOS2           2     4608     \              Key retrieval TSR
EGA.SYS        DOS2           2     4096     \              EGA register tracking utility
DRIVER.SYS     DOS2           2     4096     \              Alternate DASD device driver
DYNALOAD.COM   DOS2           2     1536     \              Dynamically loads a device driver from command prompt
DOSDOCK.COM    DOS2           2     1536     \              Docking support for enabled mobile systems
WNFSV1.DLL     WBACKUP2       6     85504    \              Windows CPBACKUP viewer control
WNIBM1.DLL     WBACKUP2       6     64000    \              Windows CPBACKUP graphic and util DLL
WNBACKL.RSL    WBACKUP2       6     30720    \SYSTEM\       Windows CPBACKUP resource string file
WNFLXLS1.DLL   WBACKUP2       6     25600    \SYSTEM\       Windows CPBACKUP viewer for Excel file
WNFLEPS1.DLL   WBACKUP2       6     24064    \SYSTEM\       Windows CPBACKUP viewer for encapsulated postscript
WNFLTIF1.DLL   WBACKUP2       6     23552    \SYSTEM\       Windows CPBACKUP viewer for tag image file format
WNFR.DLL       WBACKUP2       6     19456    \SYSTEM\       Windows CPBACKUP support dll
WNFLCGM1.DLL   WBACKUP2       6     18944    \SYSTEM\       Windows CPBACKUP viewer for computer graphics metafile
WNFLWPG1.DLL   WBACKUP2       6     18432    \SYSTEM\       Windows CPBACKUP viewer for WordPerfect graphics
WNFLWK31.DLL   WBACKUP2       6     17408    \SYSTEM\       Windows CPBACKUP viewer for Lotus 1-2-3 V3.0
WNFLQP1.DLL    WBACKUP2       6     17408    \SYSTEM\       Windows CPBACKUP viewer for Quattro Pro
WNFLBMP1.DLL   WBACKUP2       6     16896    \SYSTEM\       Windows CPBACKUP viewer for bit maps
WNFLWKS1.DLL   WBACKUP2       6     15360    \SYSTEM\       Windows CPBACKUP viewer for Lotus 1-2-3 V1.a
WNFLGIF1.DLL   WBACKUP2       6     13824    \SYSTEM\       Windows CPBACKUP viewer for CompuServe GIF files
WNFLPCX1.DLL   WBACKUP2       6     11776    \SYSTEM\       Windows CPBACKUP viewer for PC Paintbrush
WNFLZIP1.DLL   WBACKUP2       6     8192     \SYSTEM\       Windows CPBACKUP viewer for PKZIP file
WNHB.DLL       WBACKUP2       6     7680     \SYSTEM\       Windows CPBACKUP low speed backup support
WNFLRTF1.DLL   WBACKUP2       6     7680     \SYSTEM\       Windows CPBACKUP viewer for rich text format
WNHR.DLL       WBACKUP2       6     7168     \SYSTEM\       Windows CPBACKUP low speed backup support
WNFLEXE1.DLL   WBACKUP2       6     7168     \SYSTEM\       Windows CPBACKUP viewer for executable files
WNFLPIC1.DLL   WBACKUP2       6     6656     \SYSTEM\       Windows CPBACKUP viewer for Lotus 1-2-3 graphics
WNFLMSP1.DLL   WBACKUP2       6     6656     \SYSTEM\       Windows CPBACKUP viewer for MS Paint
WNFLCDR1.DLL   WBACKUP2       6     6144     \SYSTEM\       Windows CPBACKUP viewer for CorelDRAW
WNFLICO1.DLL   WBACKUP2       6     4608     \SYSTEM\       Windows CPBACKUP viewer for icons
WNFLTXT1.DLL   WBACKUP2       6     3584     \SYSTEM\       Windows CPBACKUP viewer for DisplayWrite
WNFLHEX1.DLL   WBACKUP2       6     2560     \SYSTEM\       Windows CPBACKUP viewer for hex dump
UNDELETE.EXE   DOS4           4     108544   \              File undelete utility
VIEW.EXE       DOS4           4     84480    \              DOS online view facility
VIEW.OVL       DOS4           4     66048    \SYSTEM\       UNDELETE/CPBACKUP viewer overlay
VIEW.LIB       DOS4           4     38912    \SYSTEM\       UNDELETE/CPBACKUP viewer code
UNDEL.HLP      DOS4           4     20480    \              UNDELETE help file
SMARTDRV.EXE   DOS4           4     13824    \              Disk cache TSR and device driver
UNFORMAT.COM   DOS4           4     12800    \              Disk unformat utility
XCOPY.EXE      DOS4           4     11264    \              XCOPY utility
SUBST.EXE      DOS4           4     9216     \              Substitute utility
VIEW.HLP       DOS4           4     7680     \SYSTEM\       UNDELETE/CPBACKUP viewer help
SHARE.EXE      DOS4           4     6144     \              File share support
SETVER.EXE     DOS4           4     6144     \              Set DOS version device driver
